Sentence	Label
After Mexico won the playoff and gained qualification, Herrera's job was extended to coaching the team during the World Cup.	2
However, the conditions of the post-war world encouraged decolonialization and emergence of new governments, with India, Pakistan, Israel, Vietnam, and others declaring independence, although rarely without bloodshed.	2
He began his career at Monagas, playing four Primera División Venezolana seasons before a transfer to Caracas in 2012.	2
China estimated in 2009 that 3,000 of the Chinese in Romania consisted of migrant workers, in the textile, shipbuilding, construction, and agriculture sectors.	2
Important themes include the rapid industrialization and growing power of Britain, Europe and, later in the period, the United States, with Japan emerging as a major power and empire towards the end of this period.	2
The English side had lost the previous tour to Australia, but had remained undefeated at home by visiting Australian sides.	2
Ukraine, similarly to most other developing countries, suffers from ineffectiveness and corruption in public services sphere.	2
Canada and the USA joined the nine teams that played in the 1978 European Curling Championships.	2
She served in the Mediterranean and then participated in the war against Japan with the British Eastern Fleet.	2
The 1965 Los Angeles Dodgers finished the regular-season with a 97–65 record, which earned them the NL pennant by two games over their arch-rivals, San Francisco.	2
He spoke about the need to change the terms of trade between industrialized countries and developing countries, and affirmed the will of France to actively contribute to the development of the Third World.	2
Lyse Abbey was founded in 1146 by Sigurd, Bishop of Bergen, on farmland that he owned, as the Christianisation of Norway was nearing completion.	2
He helped the Reggae Boyz to capture the 2014 CFU Caribbean Football Unions (men's) Title beating Trinidad and Tobago in Penalties.	2
Returning to Bulgaria as volunteers in the Balkan Wars of 1912 and 1913, they brought back the new music of America.	2
In July 1941, after the Nazi Germany attacked the Soviet Union, Buczacz was taken over by the Germans.	2
After independence of India, he represented Kutch constituency in 3rd Lok Sabha, for the years 1962–67, as a member of Swatantra Party which won over the rival Congress party.	2
"""Waters & Watson"" itself was established in 1933 but ceased operations when Japan invaded Singapore in 1942."	2
Billy Murdoch won the toss for Australia and chose to bat first.	2
The West London Derby is the name given to a football derby played between any two of Brentford, Chelsea, Fulham and Queens Park Rangers, all of whom are situated within West or Southwest London.	2
Philippines participated in the 2010 Asian Para Games–First Asian Para Games in Guangzhou, China from 13 to 19 December 2010.	2
The conference ended with the Netherlands agreeing to transfer sovereignty to the United States of Indonesia.	2
Russia is sole successor to the Soviet Union, so ties have naturally continued with Russia since the Belavezha Accords.	2
Australia batted first and scored 240 runs for 9 wickets in 50 overs.	2
Argentina returned to the WRC calendar for the first time since 2009, after the event was a part of the Intercontinental Rally Challenge in 2010.	2
Spain was led in scoring in the 2012 Gold Coast Sevens by Pedro Martin (5 tries and 27 points), and by Pablo Feijoo (4 tries and 22 points).	2
"Laksono is known for his brash condescendence and overtly harsh remarks towards Singapore, especially with regards to the island republic's diplomatic calls to the Indonesian government to curb the acrid trans-boundary haze that shrouds large areas of Sumatra, Peninsular Malaysia and Singapore annually as a result of extensive ""slash and burn"" cultivation in Sumatra, Kalimantan and other Indonesian territories."	2
During the 1980s, the Soviet Union provided full political, economic, military, and diplomatic support to the left wing government of Nicaragua.	2
The alleged causes were the centralistic policies of the Maldivian government and the recent independence of its neighbors India and Ceylon.	2
Lebedeva competed in the 2010 Winter Olympics for Kazakhstan.	2
The United States Ambassador to Albania is the head of the diplomatic mission of the United States to Albania.	2
Important themes include the rapid industrialization and growing power of Britain, Europe and, later in the period, the United States, with Japan emerging as a major power and empire towards the end of this period.	2
Germany attacks the Soviet Union (June 22, 1941).	2
He started in India's only match that tournament against Yugoslavia on 15 July 1952.	2
The United States and France both formally recognized Algeria on that same day.	2
He played for Ellerslie and Wellington during the 80's but injury curtailed his playing career as a goalkeeper.	2
Kim competed at the 2014 Winter Olympics for South Korea.	2
On September 29, 1962, diplomatic relations between Algeria and the United States were formally established when the U.S. Consulate General in Algiers was raised to embassy status.	2
During consideration of Dickerson v. United States, BLAG submitted an amicus brief to the Fourth Circuit.	2
The concept of two newspapers in one Redaktion was then new for Germany.	2
Australia were criticised by the Indian media for pushing the President of Board of Control for Cricket in India (BCCI) and Minister in the Government of India, Sharad Pawar, off the dais.	2
And, of course, the Avila daughter, Sofia has invited her non-Latino boyfriend.	2
Newman won the Congressional Gold Medal awarded by the United States for his flight in the Double Eagle II with Ben Abruzzo and Maxie Anderson.	2
The cooperation between these two nations on an issue concerning the Middle East was seen as a significant improvement in their relationship, compared to their earlier bitter disagreement over the 2003 invasion of Iraq.	2
As of 2000 Ghana’s main exports were minerals and cocoa.	2
For the first time since 1998 the Netherlands' song was performed in Dutch.	2
In 1977-78 season, he helped South China to create the record of unbeaten in Hong Kong First Division League for the season.	2
During the occupation of Norway by Germany he was imprisoned in Grini concentration camp from 13 to 21 January 1942.	2
In November a poll conducted by private broadcaster RTL 4 revealed that 86% of those polled would agree to a possible withdraw by the Netherlands due to the poor results received in past contests.	2
Badaracchi represented Italy at the 2008 Summer Olympics in Beijing, where he competed in the men's 10 m air pistol, along with his teammate Vigilio Fait.	2
"It called upon Lebanon to establish its sovereignty over all of its land and called upon ""foreign forces"" (Israel and Syria) to withdraw from Lebanon and to cease intervening in the internal politics of Lebanon."	2
Turkey participated at the 2010 Winter Olympics in Vancouver, British Columbia, Canada.	2
The Kingdom of Poland was created out of the Duchy of Warsaw, a French client state, at the Congress of Vienna in 1815 when the great powers reorganized Europe following the Napoleonic wars.	2
The Algerian government had recognized the United States in 1795, but formal diplomatic relations had not been established.	2
In the beginning, Horus the falcon god of light and Set the god of evil fought to control Egypt.	2
It was mapped from surveys by the Falkland Islands, and was named by the UK Antarctic Place-Names Committee after the Eliason motor sledge, invented in 1942 in Sweden, now made in Canada, and used in Arctic Canada since 1950 and in the Antarctic since 1960.	2
Thailand does the same, and also in Norway it is illegal to sell alcohol on election day.	2
Since then Bayik has been a political leader in the PKK and is in charge of the organisation's relations with Iran.	2
Honoré took the title of Prince himself, and it was only through the protection of France that Monaco escaped total overrun by Spain.	2
Russia has an embassy in Managua.	2
The Bombay Hook Lighthouse (also called the Smyrna River Lighthouse) was built by the US in 1831.	2
South Africa scored 258 runs for eight wickets in 50 overs with Herschelle Gibbs scoring 77 runs.	2
There is conflicting data about whether or not Morocco competed in Mexico summer games in 1968.	2
The Championship was won by Switzerland, who beat Sweden 13-5 in the final.	2
Prior to this conference, three other high-level meetings between the Netherlands and Indonesia took place.	2
LCI remained in the South Pacific until Japan capitulated.	2
Montpellier's other honours to date include winning the Coupe de France in 1929 and 1990, and the UEFA Intertoto Cup in 1999.	2
If you oppose Russia, please find a way to do so which does not affect the work of Wikipedia users.	2
This is awarded to the player of the tournament and is named in honour of the New Zealand forward who scored the winning try for the All Golds in the last minutes of the game to secure an 8 - 5 victory.	2
In September 2008, perhaps in response to Nicaragua's support over the breakaway Georgian territories, Russia offered to strengthen ties with Nicaragua and to provide aid to Nicaragua to help rebuild areas damaged by hurricanes.	2
But nobody knows even the approximate period of the finalization of these triple-points, because it needs the consent of India indeed, as an inevitable fact.	2
In May 1979, Mexico broke diplomatic relations with Nicaragua over repeated human rights abuses carried out by the government of Anastasio Somoza Debayle.	2
In 1995, Smith wrote another book about Jordan and the Bulls, called Second Coming: The Strange Odyssey of Michael Jordan - From Courtside to Home Plate and Back Again.	2
Overall, he has totalled over 50 goals and over 150 appearances in the league, and made his international debut for Venezuela in 2010.	2
Côte d'Ivoire, Ghana and Niger qualify for the final tournament.	2
Panama is competing at the 2013 World Aquatics Championships in Barcelona, Spain between 19 July and 4 August 2013.	2
In the late 19th century, the newly united Italy was added to this group.	2
At least in 961, when King Otto I of Germany marched against the Kingdom of Italy for the second time, he made Hermann the administrator (procurator regis) in his Saxon lands.	2
Since independence on August 1, 1960, Benin has provided a model of democracy in West Africa.	2
He was educated at Emanuel School in Battersea, London and rowed for GB at U23 Level and for Wales.	2
Israel has its own Afganistan which is Syria, and its own Iraq, which is Iran.	2
Corbin has represented Barbados in eleven Chess Olympiads from 1986 through 2008, playing first board in 1986, 1990, 1998, and 2000.	2
"Ignacio ""Tiki"" Inchausti played in Spain's only ever appearance at."	2
Mongolia finished nineteenth in a medal table.	2
So the gods chose Papyrus, a young fisherman who must find the secret entrance to Ombos, free the god Horus and restore peace to Egypt.	2
Set against the backdrop of the Indian Emergency, the movie tells the story of three youngsters in the 1970s, when India was undergoing massive social and political changes.	2
After having passed the summer of 2005 between Italy and Switzerland with the Favola tour.	2
The Pakistan conducted armed operations against these Al-Qaeda members since August 2003 off and on with limited success.	2
She received awards in recognition of her humanitarian work from the governments of such nations as Belgium, Czechoslovakia, Estonia, Japan, Latvia, Lithuania, Romania, as well as Imperial Russia.	2
Since the 1980s China as well as Thailand have farmed tigers with the idea of selling their parts to meet the demand for tiger bone .	2
During his reign Polotsk was at war with Kiev and Novgorod.	2
